task,n_shot,reptile_mean,reptile_std,baseline_mean,baseline_std,reptile_advantage
task_1,1,0.36279290601844366,0.011710125395943302,0.2477364136168341,0.035835463489602606,0.11505649240160956
task_1,3,0.40284407622708,0.020040260810222706,0.28775319521580434,0.033740967344084175,0.11509088101127568
task_1,5,0.3498145214054904,0.006477529412593346,0.24247225090589467,0.056867647988800715,0.10734227049959574
task_8,1,0.048135707080957685,0.033957586221552045,0.012592627607625625,0.008801672545586165,0.03554307947333206
task_8,3,0.048560006348171876,0.029924827000133387,0.01680463822474759,0.01281236757289423,0.03175536812342429
task_8,5,0.06213873106980922,0.042036806457623435,0.032136464113285516,0.01915280572553402,0.0300022669565237
