task,1_shot_reptile_mean,1_shot_reptile_std,3_shot_reptile_mean,3_shot_reptile_std,5_shot_reptile_mean,5_shot_reptile_std,1_shot_baseline_mean,1_shot_baseline_std,3_shot_baseline_mean,3_shot_baseline_std,5_shot_baseline_mean,5_shot_baseline_std
task_1,0.3628,0.0117,0.4028,0.0200,0.3498,0.0065,0.2477,0.0358,0.2878,0.0337,0.2425,0.0569
task_8,0.0481,0.0340,0.0486,0.0299,0.0621,0.0420,0.0126,0.0088,0.0168,0.0128,0.0321,0.0192
