task,1_shot_reptile_mean,1_shot_reptile_std,3_shot_reptile_mean,3_shot_reptile_std,5_shot_reptile_mean,5_shot_reptile_std,1_shot_baseline_mean,1_shot_baseline_std,3_shot_baseline_mean,3_shot_baseline_std,5_shot_baseline_mean,5_shot_baseline_std
task_1,0.3595,0.0092,0.3994,0.0248,0.3490,0.0051,0.2492,0.0356,0.2862,0.0340,0.2424,0.0570
task_8,0.0507,0.0355,0.0490,0.0302,0.0630,0.0429,0.0126,0.0088,0.0168,0.0128,0.0321,0.0191
