task,n_shot,reptile_mean,reptile_std,baseline_mean,baseline_std,reptile_advantage
task_1,1,0.3595470467148563,0.009169568178445909,0.24921793324112132,0.03557629103687395,0.110329113473735
task_1,3,0.3993881155133097,0.02475704576474926,0.2862309850233824,0.03401375421033092,0.11315713048992732
task_1,5,0.3490455768151528,0.005085641708107697,0.2423892995483763,0.05695700734178689,0.10665627726677651
task_8,1,0.05072033099403833,0.035476674622130756,0.012600381744591369,0.008808118193649118,0.03811994924944696
task_8,3,0.04901768695864297,0.03016476117433204,0.016801586634858878,0.01280974312815819,0.032216100323784094
task_8,5,0.06301696563937383,0.042928720029908704,0.03212855054307774,0.019141464180729532,0.030888415096296085
